"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"1","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-01-02","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",468.43980525665,468.43980525665
"2","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-01-09","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",1094.29985211969,1094.29985211969
"3","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-01-16","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",769.263084256219,677.722185894312
"4","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-01-23","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",629.112631712437,629.112631712437
"5","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-01-30","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",721.182746494205,721.182746494205
"6","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-02-06","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",771.148780433154,621.989262523162
"7","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-02-13","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",742.714872776908,742.714872776908
"8","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-02-20","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",833.159594318433,578.440049934197
"9","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-02-27","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",605.41823969256,431.170365010403
"10","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-03-06","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",425.51234468566,313.140571041376
"11","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-03-13","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",4.9504624031506,383.388643832633
"12","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-03-20","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",477.68414091485,356.496077589465
"13","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-03-27","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",357.46567614245,247.321948006362
"14","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-04-03","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",183.683128332976,102.128835275369
"15","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-04-10","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,101.214379682395
"16","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-04-17","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",213.642008361089,106.486310920511
"17","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-04-24","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",201.557095177486,201.557095177486
"18","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-05-01","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,109.595512159646
"19","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-05-08","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,45.7375016585847
"20","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-05-15","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",127.089984702502,127.089984702502
"21","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-05-22","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",125.294654473651,125.294654473651
"22","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-05-29","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",113.759496422901,113.759496422901
"23","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-06-05","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,173.47836219107
"24","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-06-12","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",135.141943664571,135.141943664571
"25","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-06-19","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",176.831579341658,132.244885155427
"26","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-06-26","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",242.829604067588,242.829604067588
"27","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-07-03","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",220.411379149636,136.490055837381
"28","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-07-10","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,163.711013426681
"29","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-07-17","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,137.649578707989
"30","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-07-24","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,108.704450384374
"31","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-07-31","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,90.3856979975335
"32","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-08-07","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,74.2935114388547
"33","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-08-14","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,91.4426906606188
"34","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-08-21","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,64.2563689101426
"35","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-08-28","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",130.250597410525,99.1244221772722
"36","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-09-04","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",254.19753065309,177.6297198953
"37","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-09-11","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",152.954289663348,152.954289663348
"38","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-09-18","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",166.037178886155,166.037178886155
"39","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-09-25","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,248.206263569318
"40","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-10-02","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,178.39661772895
"41","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-10-09","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",168.981293272706,96.5326572759404
"42","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-10-16","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",182.757510256435,182.757510256435
"43","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-10-23","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",102.542483152267,129.464808973782
"44","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-10-30","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,141.115695710343
"45","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-11-06","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,191.002253663534
"46","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-11-13","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",360.527242695955,524.991201292321
"47","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-11-20","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",81.2051244296199,81.2051244296199
"48","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-11-27","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,50.3588692945078
"49","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-12-04","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",181.346352716681,181.346352716681
"50","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-12-11","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",114.717932090229,114.717932090229
"51","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-12-18","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",20.2696356125678,20.2696356125678
"52","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-12-25","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,44.7206511270562
"53","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-01-01","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,219.878529105605
"54","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-01-08","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,176.499524288773
"55","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-01-15","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",157.598043401126,157.598043401126
"56","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-01-22","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,380.974488992624
"57","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-01-29","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,490.472896356285
"58","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-02-26","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,78.0030303416028
"59","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-03-05","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",141.411367493295,141.411367493295
"60","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-03-12","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",52.5353793928698,137.699226974632
"61","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-03-19","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,404.463952956201
"62","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-03-26","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,225.959800545578
"63","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-04-02","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,218.763075696328
"64","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-04-09","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",55.6351293462212,174.908958344483
"65","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-04-16","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,80.0200261793269
"66","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-04-30","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",260.512804225288,226.680306620485
"67","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-05-07","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,189.499858401594
"68","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-05-14","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,191.013496229854
"69","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-05-21","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",171.42704122757,171.42704122757
"70","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-05-28","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,242.251317981924
"71","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-07-02","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",562.545915925602,562.545915925602
"72","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-07-09","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,228.790730654786
"73","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-07-16","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",59.8188045917292,59.8188045917292
"74","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-07-23","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,76.3929916093951
"75","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-07-30","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,242.398623130299
"76","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-08-06","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",22.9813066540047,22.9813066540047
"77","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-08-13","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",88.1039493548383,88.1039493548383
"78","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-08-27","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,106.759300264765
"79","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-09-03","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",286.260460229515,286.260460229515
"80","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-09-24","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",96.0157730554339,96.0157730554339
"81","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-10-01","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",851.452111367217,851.452111367217
"82","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-10-08","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",178.494620886394,178.494620886394
"83","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-10-15","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",197.582025378436,85.3637795084596
"84","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-10-22","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",162.294261413167,70.5802057427336
"85","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-10-29","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",256.805254099528,109.937717069322
"86","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-11-05","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",275.094198426,267.37292710226
"87","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-11-12","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",263.051052076157,263.051052076157
"88","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-11-19","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",21.27649974039,21.27649974039
"89","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-11-26","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",0,269.146938757805
"90","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-12-03","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",932.896016679928,932.896016679928
"91","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-12-10","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",47.4007640201094,21.3531231616089
"92","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-12-17","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",171.364962566719,127.598350966728
"93","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-12-24","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",682.2531424879,682.2531424879
"94","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2022-12-31","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","Meijer",47.0876189261243,19.3052753881148
"95","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-01-02","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Meijer",677.51374229955,579.331837271791
"96","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-01-09","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Meijer",512.539030514158,512.539030514158
"97","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-01-16","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Meijer",116.204873170497,116.204873170497
"98","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-01-23","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Meijer",436.214876035166,436.214876035166
"99","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-01-30","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Meijer",664.497991773444,664.497991773444
"100","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-02-06","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Meijer",0,406.546939102413
"101","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-02-13","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Meijer",0,243.839295298434
"102","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-02-20","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Meijer",0,122.585256202448
"103","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-02-27","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Meijer",369.664486502858,369.664486502858
"104","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-03-06","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Meijer",188.528691606119,188.528691606119
"105","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-03-13","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Meijer",376.343143100669,376.343143100669
"106","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-03-20","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Meijer",0,67.687058223113
"107","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-03-27","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Meijer",87.0766053717947,87.0766053717947
